iter	Passed	Remaining
0	5	5868
1	8	4061
2	10	3530
3	12	3137
4	14	282755	16	266366	17	253677	20	248088	21	241499	23	2355110	25	2271111	27	2246112	29	2216113	30	2158114	32	2159115	35	2167116	37	2158
17	39	2130
18	40	2101
19	42	2088
20	44	2051
21	45	2037
22	48	2078
23	50	2063
24	52	2062
25	55	2064
26	57	2062
27	59	2061
28	60	2040
29	62	2025
30	64	2026
31	67	2048
32	69	2043
33	71	2018
34	72	1990
35	74	1989
36	76	1983
37	78	1977
38	79	1961
39	81	1959
40	84	1975
41	86	1970
42	87	1944
43	89	1935
44	91	1934
45	92	1926
46	94	1917
47	96	1911
48	98	1907
49	99	1889
50	101	1889
51	103	1883552	104	1873553	106	1870554	108	1866
55	110	1861
56	112	1855
57	114	1858
58	117	1870
59	118	1861660	121	1864661	123	1865662	125	1864663	127	1857664	128	1844665	129	183866	134	1872
667	134	1850668	136	1844669	138	1845770	140	184371	144	1857
72	145	1850
73	147	1844
74	149	1839
75	150	1834
76	152	1824
77	154	1825
778	155	181479	160	1843
80	163	1851
81	164	1844
82	168	1862
83	170	1856
84	172	1852
85	174	1849
86	175	1844
87	177	1836
88	178	1831
89	180	1827
90	182	1822
91	184	1818
92	187	1829
93	188	1815
94	191	1820
95	192	1815
96	193	1802
97	195	1797
98	196	1792
99	199	1797
100	202	1801
101	203	1794
102	205	1792
103	208	1792
104	209	1787
105	211	1784
106	213	1780
107	215	1782
108	218	1784
109	220	1784
110	222	1782
111	224	1782
112	226	1777
113	228	1772
114	229	1767
115	231	1766
116	233	1765
117	236	1764
118	237	1760
119	239	1755
120	240	1750
121	242	1746
1122	242	17291123	244	17251124	246	1725125	249	1731
126	253	1742
127	255	1742
128	257	1740
129	259	1736
130	260	1730
1131	260	17151132	263	17161133	266	17201134	267	17161135	269	1713136	272	1715
1137	272	17021138	274	16981139	276	16961140	277	16901141	279	16901142	283	1698
143	286	1700
144	288	1700
145	290	1697
146	291	1693
147	293	1689
148	296	1692
149	298	1688
150	300	1687
151	302	1685
152	303	1682
153	305	1679
154	307	1676
155	309	1672
156	309	1662
157	311	1660
158	313	1658
159	316	1660
160	319	1663
161	321	1663
162	323	1658
163	324	1655
164	326	1650
165	327	1647
166	331	1652
167	332	1648
168	334	1645
169	336	1641
170	338	1639
171	339	1634
172	341	1632
173	343	1629
174	344	1625
175	346	1621
176	348	1620
177	351	1623
178	355	1630
179	356	1626
180	358	1621
181	360	1621
182	362	1619
183	364	1615
184	366	1614
185	368	1612
186	370	1610
187	371	1605
188	373	1602
189	374	1596
190	376	1592
191	377	1590
192	379	1586
193	381	1585
194	387	1598
195	389	1597
196	392	1598
197	395	1603
198	398	1603
199	400	1600
200	402	1599
201	404	1596
202	405	1592
203	407	1589
204	409	1586
205	411	1584
206	412	1580
207	414	1576
208	415	1573
209	419	1579
210	421	1577
211	423	1574
212	425	1572
213	427	1571
214	429	1569
215	431	1565
216	433	1563
217	434	1558
218	436	1555
219	437	1549
220	438	1546
221	440	1543
222	442	1540
223	443	1536
224	445	1533
225	446	1530
226	448	1527
227	451	1527
228	453	1528
229	455	1526
230	457	1523
231	459	1521
232	461	1519
233	463	1517
234	465	1513
235	466	1510
236	468	1508
237	469	1503
238	471	1501
239	472	1497
240	473	1492
241	475	1488
242	476	1485
243	478	1482
244	479	1478
245	481	1477
246	483	1474
247	486	1476
248	488	1473
249	489	1469
250	491	1466
251	493	1465
252	495	1463
253	497	1459
254	499	1458
255	500	1455
256	502	1452
257	503	1449
258	505	1446
259	507	1443
260	508	1440
261	510	1438
262	512	1435
263	514	1434
264	515	1430
265	518	1429
266	519	1427
267	521	1424
268	523	1421
269	525	1419
270	528	1420
271	530	14192272	531	14162273	533	14122274	534	14102275	536	14072276	538	1404277	540	1403
278	541	1400
279	543	1398
2280	545	1396281	549	1399
282	552	1398
283	553	1395
284	555	1393
285	558	1393
286	560	1392
287	562	1389
288	563	1386
289	565	1383
290	566	1380
291	568	1378
292	569	1375
293	571	1372
294	573	1369
295	574	1367
296	576	1364
297	577	1361
298	579	1358
299	581	1357
300	584	1356
3301	586	1355302	588	1353
3303	589	1350304	592	1350
305	594	1348
306	596	1345
307	598	1343
308	600	1341
309	601	1339
310	603	1336
311	605	1334
312	606	1331
313	608	1328
314	609	1325
315	611	1324
316	613	1322
317	616	1321
318	618	1320
319	620	1319
320	622	1316
321	623	1312
322	625	1310
323	627	1309
324	629	1306
325	631	1305
326	632	1302
327	634	1299
328	635	1296
329	637	1294
330	638	1290
331	640	1287
332	641	1285
333	643	1284
